from	to
11727943	10722934
4829258	6779307
9161607	2411802
583464	9452151
10808871	3545273
10808871	8708364
270326	9609447
11135962	4238408
11565807	10942935
11565807	2901002
11565807	8708364
7462615	9081395
7462615	11032232
8346493	4909087
9099959	10201580
11312863	8121719
11075330	3228542
11075330	532312
9099959	3190076
9099959	4551984
9099959	9754169
11688141	7388477
11688141	10589070
1761521	10041823
1761521	9081267
9561497	2901002
6436846	6265630
6436846	10589070
2168400	8624538
5967886	4909087
5967886	7964527
9024698	2901002
9024698	11341077
9024698	10041823
11312863	8121719
11666502	4338000
11666502	5825760
5212614	699305
5212614	4833056
3811918	2901002
7547586	10041225
7547586	9026523
11312863	8121719
11312863	11523400
6140832	10521959
6140832	10189214
6140832	3483203
2242044	6570888
2242044	7835267
2242044	8313460
11228769	7964527
8993099	10325516
8993099	3476346
9799540	2901002
866364	4909087
866364	7964527
9024698	8123710
9024698	2901002
11650891	5120049
10895812	4909087
6043544	1422451
576448	576448
4746684	2901002
9895978	7117003
11611758	5502866
11611758	9311083
11611758	11631496
7932273	4909087
11633760	6511941
11633760	10033286
2091230	9200529
2091230	1692260
2091230	2091230
10396157	2319771
10396157	5847854
4701426	8121719
4701426	10157759
4701426	7964527
3848207	9511702
3848207	7932273
3848207	2137255
11600098	11600098
11600098	9081267
292291	11015427
292291	11592102
11623512	2997855
11616334	2535611
11616334	7964527
11616334	4909087
9024698	2336654
9024698	9024698
11196704	2901002
11600963	7131499
11600963	10888655
11600963	3545273
11600963	10157759
11196704	8008776
1768419	2901002
1768419	8708364
10539466	5331834
10539466	5359002
7535419	7964527
11451039	3717658
11451039	4238408
11451039	10067043
11451039	7371893
11451039	3806464
8791503	4238408
8791503	10331864
8791503	7964527
11600963	3474452
11135962	9840637
11091145	2901002
5868293	2901002
11247027	11247027
11247027	11486681
8212173	2901002
11451522	7867968
4133063	2032994
4133063	9529048
4133063	1237531
7469605	9360135
7469605	4686625
4982782	5811078
11588430	7964527
11585893	2284490
11523244	4238408
9024698	4238408
9024698	9840637
11135962	785673
11135962	11492024
7535419	7535419
7535419	1240268
4375983	10286422
8579587	10041823
5868293	2901002
5868293	8123710
5868293	9840637
5868293	532312
5868293	2901002
3116753	7964527
3116753	10189214
3116753	8708364
3116753	8008776
11135962	7964527
4526288	9840637
10396157	103254
10267489	10836685
10267489	9081267
10267489	103254
8051444	6926444
11337707	883431
11337707	8761414
9978457	2901002
9431573	7392741
9431573	9081267
9431573	5197270
11334842	6063482
11334842	2901002
11334842	8353711
10603191	9840637
10603191	10620028
8809326	3545273
6796805	4133641
11325655	7835267
11325655	10620028
8359315	4985733
8359315	7703958
8359315	8557832
8359315	9840637
9218680	8353711
2634219	2634219
2634219	4238408
7462428	10925936
7371506	9081267
7371506	6484158
6571327	7388477
11525372	7964527
7988497	7964527
7988497	7988497
6590393	9081267
5525619	2901002
5525619	10521959
5525619	4981721
5525619	2901002
11390915	10077617
10743315	10826178
10743315	2901002
5868293	2901002
5017586	6282576
11313583	2336654
10428539	10189214
10428539	6282576
10428539	10330386
11446382	11476249
11446382	1762211
6555335	2901002
6555335	4238408
10728472	7964527
10603191	7964527
10603191	3483203
10603191	4238408
10603191	1481986
5806136	1240268
10728472	7236077
10728472	7093741
10728472	9165263
3277133	2336654
3277133	2535611
3277133	2901002
11278044	11278044
8578231	10419999
8578231	5950399
8578231	2901002
9940760	8708364
9940760	2901002
10391795	6761181
11500955	4238408
11500955	10302056
11500955	8347081
8303150	9081267
8303150	10113401
8303150	7964527
6825505	9081267
9670056	9534184
9670056	2901002
10728472	9237823
10728472	7964527
11492682	2901002
11491403	9758660
5565466	2901002
10164637	7964527
10164637	2535611
3512709	7964527
8290376	6361531
8290376	6342575
11451039	1491895
11470433	2901002
11135962	9551447
5849427	1939996
5849427	9698684
5849427	4238408
2085438	3444923
2085438	9534184
11446190	4125116
9994064	2901002
9994064	1695172
6672579	5154274
6672579	9081267
8479852	10189214
11308135	2336654
10100724	9324678
8207612	10419999
6032016	2214597
6032016	9840637
8091097	9324678
8207612	6792743
8207612	2336654
8207612	9698684
8207612	4125116
8207612	4238408
9875052	532312
7440802	7440802
7440802	11416991
11439233	10010216
11439233	11363596
7004463	7004463
11035965	9537244
7422943	7422943
7422943	7422943
4278999	9537244
8507982	5069029
8507982	9081267
11082866	2901002
11135962	6272103
11135962	10201580
11135962	6422477
6941823	6561949
4481339	2901002
10117868	2901002
7932273	2901002
3448011	7964527
4430536	6047722
4430536	10005592
9925225	5496433
9925225	7388477
9925225	9925225
9947248	6883295
9947248	7456718
8361728	7896849
8361728	7932273
9995030	11359504
11131369	8146556
5520027	2842758
5520027	5150942
7930571	51685
11396296	3483203
11396296	6287308
11396296	7964527
3448011	10286422
3448011	5847854
3448011	9081267
11386089	5032941
9988582	7964527
11031361	4932316
11031361	10307576
11031361	3483203
11031361	7964527
331174	4125116
331174	11015427
331174	4238408
331174	2535611
9988582	9081267
9718282	11390041
9718282	6029105
9718282	827391
9718282	1240268
156531	7964527
156531	7917887
156531	2901002
9452512	6361531
4494842	9081267
4494842	7964527
11383307	10201580
208127	7964527
208127	4909087
208127	1252759
11381682	7964527
11343149	10758169
11343149	7964527
7932273	2901002
7932273	9698684
7932273	4110614
7932273	7093741
10797986	8708364
10797986	2901002
10865832	10878688
10865832	11015427
8150532	10589070
11135962	4333359
4150078	3545273
4150078	10189214
4150078	7388477
11031361	5094841
11031361	5853611
11031361	10201580
11218700	10201580
11218700	2901002
11218700	8708364
11218700	6764113
11218700	1397946
2091169	2091169
2091169	7964527
9988582	10366273
9988582	9988582
11322649	4248842
5868293	5868293
4338000	4238408
4338000	9081267
11065684	794539
8797830	11255447
9927054	7964527
9927054	4333359
9927054	4125116
6920946	2336654
6920946	7964527
9580899	7964527
6621793	7117003
6621793	6506309
11338673	9028333
11338673	8599834
439621	8874696
439621	2901002
9988582	9081267
4150078	3279716
6302061	2901002
8749168	4703367
8749168	4983450
