UserId	PostId	PostTypeID
11956484	57692491	1
9580869	57684956	1
4347859	57676922	1
10829044	57671451	1
11958749	57663316	1
10808871	57666971	1
3253821	57651579	1
7535670	57658802	1
11977590	57656404	1
11977590	57655171	1
11977677	57655292	1
9283026	57653822	1
10647332	57648351	1
8266189	57646533	1
3543695	57631344	1
7353600	56977916	1
11872426	57634823	1
11580723	57086194	1
5703997	57631354	1
8359767	57628259	1
11956484	57613770	1
9227955	57606025	1
11135962	57605141	1
11884542	57592940	1
10770660	57591937	1
10915257	57584280	1
415088	57588604	1
9644362	57580911	1
2022284	57577719	1
11934674	57570159	1
11951151	57572126	1
2493856	57573088	1
8542257	57572635	1
7505228	57571363	1
8958254	57568865	1
9644362	57565464	1
11053294	57565348	1
7517610	57561426	1
2658898	57560922	1
11946630	57558158	1
8339485	57554087	1
5250909	57553191	1
11945555	57553554	1
6664990	43957347	1
11941800	57542176	1
11939688	57536581	1
11939521	57535707	1
11810737	57532983	1
5328289	57531604	1
11053196	57515298	1
5703997	57517046	1
1033606	57524548	1
11723688	57510591	1
11822211	57520644	1
3993270	57514586	1
11639342	57512828	1
2493856	57511350	1
11928649	57500021	1
10018602	57489858	1
11456979	57487935	1
8821584	57484777	1
8382707	57482954	1
11729738	57483119	1
10407737	57480154	1
11853632	57479172	1
11139350	57476549	1
11463582	57465348	1
8446738	57467167	1
9585960	57465412	1
8301072	57452507	1
11639969	57450341	1
11601034	57448139	1
9083355	57447173	1
4160251	57442163	1
11871120	57435848	1
1033606	57425987	1
9940344	57426475	1
11905726	57424705	1
7728410	57421280	1
2485873	57398312	1
3631440	57406436	1
11902219	57413502	1
11880185	57407677	1
11173141	55104236	1
5055891	57399737	1
5072692	57405126	1
4996042	57400239	1
7954504	57385009	1
5553761	57383355	1
9942021	57381750	1
10808871	57370026	1
11816060	57370083	1
3656142	57367227	1
1536343	57367454	1
11600655	57364080	1
5868293	57359723	1
5868293	57357663	1
3058703	57347532	1
11878746	57341269	1
11878337	57340167	1
965778	57337839	1
667355	57328692	1
11430761	57303580	1
11873300	57324964	1
8867530	57323483	1
11463582	57322077	1
4996042	57316669	1
3166881	57316151	1
667355	57313621	1
10632473	57286397	1
2598316	57311962	1
667355	57311627	1
11816060	57304693	1
10018602	57300260	1
4463305	57300286	1
11766953	57297877	1
11359253	57275870	1
11463582	57285389	1
11846355	57278672	1
11846355	57263262	1
