from	to	weight
8380272	7862558	1
8380272	3483203	6
7862558	3483203	1
2823755	7592064	1
6220759	2823755	1
6220759	7592064	2
4572274	2336654	4
6403976	4098013	1
6403976	2901002	2
6321559	3793674	1
7964527	3793674	1
10284439	8320861	1
10284439	2137255	2
8320861	2137255	1
5224926	2336654	6
5224926	4909087	4
2715948	9493987	1
2715948	5224926	1
3859224	9493987	1
3859224	5224926	1
6849682	8749168	2
8146556	1773367	2
2695448	7964527	1
2695448	5506894	1
1359058	9209546	3
1359058	6580543	1
6580543	9209546	2
3866172	4557382	1
3866172	7141506	1
9915320	8959807	1
7024766	2901002	1
2535611	6671176	1
8380272	4909087	10
8380272	2535611	1
8380272	487339	3
2535611	487339	2
487339	4909087	2
3639023	4819449	1
7964527	4819449	2
7964527	3639023	1
5309300	233813	1
3800761	478288	1
2901002	9003475	1
8878774	7252651	1
3483203	1252759	1
230454	7273886	1
230454	1252759	3
7273886	1252759	2
8258902	230454	1
8258902	7273886	2
8258902	1252759	4
10232261	4909087	10
2701933	4909087	10
7013576	4867193	1
6631196	4867193	1
9341104	3483203	1
6552084	9341104	1
6552084	3483203	2
6552084	4585713	1
4585713	3483203	1
3316882	1532172	1
3316882	17160	2
1532172	17160	1
5178905	9209546	6
1717828	3483203	2
1717828	2535611	1
9461974	9413990	1
9461974	9937273	2
9413990	9937273	1
7847903	9067615	1
2535611	9209546	2
308903	9067615	1
10101628	6671176	2
2136892	797495	1
7964527	797495	1
2314391	797495	1
9435107	6361531	1
2695448	6361531	3
2695448	9435107	2
4174466	4909087	4
190597	7938217	1
9299259	4737952	7
9299259	2570261	6
2570261	4737952	1
3490320	9209546	3
2136892	9209546	3
7964527	6615163	1
8146556	7571052	1
8166632	7571052	1
7964527	704848	14
9209546	704848	8
8380272	2901002	1
8380272	4593127	1
7964527	4593127	1
4264155	6671176	2
4264155	2901002	1
2901002	6671176	2
7386332	2137255	2
7619676	6361531	1
532312	9209546	2
2901002	5811078	3
5811078	9209546	1
7746365	9209546	2
7746365	5811078	1
3704368	2535611	1
3704368	3483203	2
3704368	2137255	2
2535611	2137255	1
6930275	3112049	1
6930275	8371811	1
2570261	2303761	3
7964527	2303761	4
7964527	2570261	1
8305660	532312	1
8305660	9232410	6
532312	9232410	5
2017661	5215507	4
2017661	7671874	4
1267132	9209546	3
10000141	9462257	2
6158987	2901002	1
6321559	9209546	3
10004959	9209546	3
10004959	2901002	1
1106952	8747	2
870281	8747	2
9609447	2336654	5
10000506	9209546	3
5811078	2336654	5
790387	7936002	3
1018659	5649747	1
4923452	2336654	4
9209546	2336654	20
4871110	4923452	2
4871110	9209546	2
4871110	2336654	6
8589512	8471144	2
3152844	8471144	2
6671176	8259064	1
5374924	4737952	2
1592364	4333359	2
3154212	4909087	4
4800652	4909087	4
3316882	9209546	4
6477201	4492932	3
8708364	4492932	3
3992043	416467	3
5916727	9209546	2
9609447	5085211	1
3483203	5085211	1
9885313	2336654	6
2901002	3063243	2
2901002	9814693	1
9814693	3063243	1
532312	5811078	1
3520965	6671176	2
202229	170005	1
202229	704848	7
170005	704848	12
9209546	7564333	1
8305660	4684861	1
8305660	3483203	2
5647038	4684861	1
5647038	3483203	2
4684861	3483203	1
6671176	2867928	3
6671176	4909087	3
9274732	4909087	4
7964527	4585963	1
2901002	9740103	6
7964527	9740103	7
5741205	3510736	3
702383	9696894	1
4871110	5811078	1
3483203	2336654	5
3381215	1110687	3
5348862	3381215	2
5348862	1110687	5
4815958	4582949	3
5907870	3510736	2
714319	4983450	2
9299259	7964527	5
9299259	8008776	5
9055614	2901002	1
1568919	2901002	1
6866811	8072983	1
9253686	7207392	1
9253686	5811078	1
304093	7207392	2
304093	9253686	1
304093	5811078	2
4962332	7207392	2
4962332	9253686	1
4962332	5811078	2
5741205	4909087	5
1577947	9209546	2
5014700	4492932	3
5014700	667883	2
667883	4492932	1
2074981	9209546	2
3318273	9209546	3
4683950	6287308	2
5741205	9209546	6
4683950	5414307	1
2145789	4909087	5
2145789	2336654	7
2145789	9209546	3
2145789	6287308	2
9299259	2145789	5
9299259	4909087	10
9299259	2336654	12
9299259	9209546	8
9299259	6287308	7
6287308	2336654	15
6287308	9209546	2
374092	2901002	1
79793	2901002	1
79793	9209546	3
5514476	2901002	1
5514476	9209546	3
1088415	2901002	1
1088415	9209546	3
2570261	9209546	2
2570261	6287308	1
5017267	4909087	5
6684107	4887682	2
1456830	1451346	1
146073	2901002	1
6764663	146073	1
6764663	2901002	2
8666528	2901002	1
8666528	9209546	3
1499803	9209546	1
7368203	9209546	1
2901002	1499803	1
2901002	7368203	1
667883	9209546	2
2411802	3877338	3
7724156	6786975	4
7724156	2285236	6
6786975	2285236	2
9416508	4829258	1
2901002	4829258	2
2901002	9416508	1
9203524	6672746	4
9295613	2336654	6
8431275	9295613	1
8431275	2336654	7
1672128	2137255	1
4873159	4055021	1
4873159	9183344	1
1536437	2901002	1
1536437	6638903	1
7996271	9209546	2
7964527	6361531	6
7964527	7359810	1
7964527	4505244	2
7359810	6361531	1
7359810	4505244	1
7386332	1187220	2
7326738	1187220	2
9311370	9349968	5
5080669	9209546	1
2901002	5080669	1
9183344	6361531	1
7964527	9183344	1
7964527	5241032	8
1534017	9209546	2
1534017	837534	4
9209546	837534	2
7964527	4492932	3
5741205	4492932	3
826983	2336654	3
5178905	532312	1
3727550	2049147	2
6147371	837534	4
4579041	837534	4
5120955	3919467	2
7964527	4829258	3
7964527	4983450	4
5741205	2901002	6
2622907	3177936	1
2901002	323303	2
5741205	6509519	1
5116025	6509519	1
8841872	4909087	4
3522130	8841872	2
3522130	4909087	6
4107693	7661057	1
5514476	7926383	1
6520041	7926383	1
2901002	826983	3
9117548	8003790	1
3480223	2901002	1
6022016	2901002	1
7134286	9099959	1
7134286	8840163	1
7853947	7505395	2
2799941	7505395	2
4016285	6361531	2
4016285	4909087	5
6361531	4909087	3
8166632	7747975	1
7964527	7267841	1
7964527	534238	1
7267841	6361531	1
534238	6361531	1
5003756	7267841	1
5003756	6361531	2
5003756	534238	1
8715110	5602504	1
7761024	5602504	1
5003756	2901002	4
5173232	6927601	8
8478253	2271269	47
8435769	8478253	11
8435769	2463570	9
8435769	2271269	58
2463570	8478253	2
