from,Score1,to,Score2
11729738,2,9609447,2
10407737,-1,5282702,1
10407737,-1,8544123,0
11853632,0,2901002,1
11853632,0,7964527,0
11139350,1,2901002,1
11463582,0,11605063,0
8446738,1,6361531,2
9585960,0,4333359,3
9585960,0,10140310,2
8301072,0,7964527,0
11639969,1,3483203,2
11601034,0,11607986,3
9083355,0,7964527,0
4160251,0,7714279,0
11871120,5,3483203,2
11871120,5,10067043,0
1033606,0,2901002,1
11905726,0,4342169,0
7728410,1,10837503,2
2485873,1,1219295,1
3631440,0,4585963,1
11880185,0,11607986,3
11173141,1,9081267,1
5055891,0,4354477,2
5072692,0,2535611,1
4996042,0,6361531,2
7954504,3,7964527,0
7954504,3,11470719,1
7954504,3,3515631,3
10808871,0,6925185,0
10808871,0,10885502,0
10808871,0,2667536,0
10808871,0,2901002,1
11816060,2,2901002,1
3656142,0,4390160,2
1536343,2,7964527,0
11600655,1,9375102,0
5868293,0,7964527,0
5868293,0,2901002,1
5868293,0,3483203,2
5868293,0,11205149,2
5868293,0,2901002,1
3058703,1,7964527,0
3058703,1,9099959,1
3058703,1,2901002,1
11878746,0,1592364,1
11878337,0,1592364,1
667355,0,5025009,3
11430761,2,10197418,0
11430761,2,7149485,2
11463582,0,9840637,2
11463582,0,2901002,1
4996042,0,1422451,0
4996042,0,10442615,1
667355,0,11849973,1
667355,0,6393053,3
667355,0,6440173,3
10632473,0,8116223,0
10632473,0,11553043,0
10632473,0,10632473,0
10632473,0,7093741,1
2598316,-1,6200416,1
667355,0,11607986,3
11816060,2,1803908,1
11816060,2,2901002,1
10018602,0,10295265,1
11359253,0,6361531,2
11359253,0,4333359,3
11463582,0,6925185,0
11463582,0,6361531,2
11846355,1,10239974,0
9161607,2,3944322,2
9161607,2,2336654,7
11737596,2,3876609,-1
11737596,2,5114164,1
11737596,2,11607986,3
5124600,0,11170205,1
11851719,0,10295265,1
9822593,0,9822593,0
9822593,0,9822593,0
9822593,0,10426037,2
11848326,2,10732232,2
11848326,2,8285811,0
11848326,2,11607986,3
11848326,2,7480460,0
6843546,0,11470719,1
6843546,0,7964527,0
8915326,4,7388477,1
8915326,4,2538939,0
11842999,3,2538939,0
11842999,3,10239974,0
10537172,1,5704863,1
10537172,1,11832001,0
5868293,0,9081267,1
11793041,0,2901002,1
11793041,0,2538939,0
11793041,0,423926,0
8076217,0,7964527,0
8076217,0,2535611,1
11838431,1,7988497,0
11838431,1,4895877,2
7039652,0,6770704,0
11836102,0,1592364,1
10728472,0,11607986,3
10728472,0,9840637,2
10704050,1,9840637,2
10704050,1,11607986,3
11723147,1,6361531,2
11723147,1,11205149,2
10473393,1,10473393,1
9144386,1,9840637,2
10018602,0,10018602,0
808946,-2,4337867,1
8150532,4,11205149,2
8150532,4,7175713,2
8150532,4,3545273,0
8150532,4,11669446,2
8150532,4,10201580,8
11049287,0,6925185,0
11822211,1,1628053,0
11740957,1,2535611,1
2679225,1,4238408,2
11113048,1,7388477,1
11773938,2,9840637,2
11773938,2,11607986,3
3249399,0,10997663,0
3249399,0,8094885,1
10906075,0,2988730,0
1479974,2,11797812,3
10329877,1,2901002,1
11027302,0,6941400,0
1750612,0,7711899,0
3689085,1,11607986,3
3689085,1,6512253,1
10808871,0,6858244,4
10808871,0,4245112,1
10808871,0,1753932,0
10808871,0,11643825,0
11783204,-1,6512253,1
11781149,1,8874696,0
11781149,1,11607986,3
7691211,0,6695849,2
7691211,0,7776603,2
10750517,1,11489387,1
10750517,1,10734525,3
4390183,0,6265630,0
4390183,0,10189214,0
11665508,1,11665508,1
3552144,0,7964527,0
7420623,2,785673,0
7420623,2,5705476,0
9921453,0,11237863,0
9921453,0,7913251,0
9921453,0,9698684,1
8700970,1,6222977,0
8700970,1,2901002,1
2401532,-5,6573902,2
10375196,0,9840637,2
5212614,2,2535611,1
5212614,2,7471822,0
5813071,3,4238408,2
2480410,1,11557974,0
2480410,1,5052365,1
11027302,0,8708364,0
11027302,0,2901002,1
11741662,1,8708364,0
4058737,3,9497687,1
4058737,3,4304456,1
4058737,3,2255198,0
11027302,0,2901002,1
11196704,1,2901002,1
10644025,4,8094885,1
10644025,4,7964527,0
10631079,2,3483203,2
4972716,7,1910242,4
4972716,7,704848,7
9940344,0,11747121,0
9940344,0,11426718,0
9940344,0,10201580,8
9940344,0,8353711,0
9940344,0,8320861,1
9940344,0,7664524,0
11463582,0,7604642,0
5868293,0,11747861,1
5868293,0,2901002,1
11518140,1,7988497,0
3143203,1,8123710,2
3143203,1,11051292,0
3143203,1,2901002,1
9195301,1,4909087,5
5864214,-1,6925185,0
9863261,2,9716278,0
9863261,2,2901002,1
9944937,1,4238408,2
6896310,0,3412660,3
6896310,0,4238408,2
11181726,1,6361531,2
11181726,1,5776838,2
9099959,1,9840637,2
9497926,1,9497926,1
10018602,0,1832058,1
11600323,1,2336654,7
11600323,1,9081267,1
11600323,1,9840637,2
11600323,1,4238408,2
6759267,0,11051292,0
6759267,0,6361531,2
11731242,0,11051292,0
11729738,2,3545273,0
11729738,2,11730027,0
11729738,2,11607986,3
11727943,0,10722934,0
4829258,3,6779307,5
9161607,2,2411802,1
583464,-1,9452151,1
10808871,0,3545273,0
10808871,0,8708364,0
270326,1,9609447,2
11135962,0,4238408,2
11565807,0,10942935,0
11565807,0,2901002,1
11565807,0,8708364,0
7462615,6,9081395,8
7462615,6,11032232,-1
8346493,2,4909087,5
9099959,1,10201580,8
11312863,2,8121719,1
11075330,0,3228542,1
11075330,0,532312,1
9099959,1,3190076,1
9099959,1,4551984,0
9099959,1,9754169,1
11688141,0,7388477,1
11688141,0,10589070,0
1761521,1,10041823,0
1761521,1,9081267,1
9561497,0,2901002,1
6436846,-1,6265630,0
6436846,-1,10589070,0
2168400,0,8624538,1
5967886,2,4909087,5
5967886,2,7964527,0
9024698,0,2901002,1
9024698,0,11341077,0
9024698,0,10041823,0
11312863,2,8121719,1
11666502,0,4338000,0
11666502,0,5825760,0
5212614,2,699305,4
5212614,2,4833056,0
3811918,1,2901002,1
7547586,0,10041225,2
7547586,0,9026523,0
11312863,2,8121719,1
11312863,2,11523400,1
6140832,3,10521959,0
6140832,3,10189214,0
6140832,3,3483203,2
2242044,1,6570888,0
