UserId,Score
11337707,2
9978457,1
9431573,1
11334842,1
10603191,1
11529730,0
8809326,1
6796805,0
11325655,0
11404137,1
8359315,0
9218680,0
2634219,0
7462428,0
7371506,0
6571327,0
8340881,0
11529730,0
11439599,1
11525372,2
7988497,0
6590393,2
5525619,2
5525619,1
11390915,-4
10743315,-1
5868293,2
5017586,2
11313583,3
10428539,2
11446382,0
6555335,0
10728472,1
10603191,3
5806136,0
10728472,1
3277133,3
11278044,0
8578231,2
9940760,2
10391795,0
11500955,1
8303150,2
6825505,-3
9670056,2
10728472,3
11492682,1
11491403,1
5565466,1
10164637,2
3512709,1
11432682,0
8290376,-4
11451039,-1
4268602,2
11470433,1
11135962,0
5849427,2
2085438,1
11446190,0
9994064,2
6672579,1
8479852,1
11308135,1
10100724,0
8207612,0
6032016,0
8091097,0
8207612,2
9875052,-1
7440802,1
11439233,1
7004463,0
11035965,0
7422943,1
3460063,2
4278999,0
